Token name,English,Italian,Turkish
FEEDBACK_URL,https://docs.google.com/forms/d/e/1FAIpQLSdLLHB0DyGI_7piMq1WESPWk5wZGfe3knMFnMw3b0-GgBU3-Q/viewform?usp=pp_url&entry.1179483000=%s,,https://docs.google.com/forms/d/e/1FAIpQLSdLLHB0DyGI_7piMq1WESPWk5wZGfe3knMFnMw3b0-GgBU3-Q/viewform?usp=pp_url&entry.1179483000=%s
YOU,You,Tu,Sen
GAME_HOURS_FINISHED,Today's game has ended. The new game will start at %d am UTC.,"Il gioco di oggi è terminato, il nuovo gioco inizierà alle %d di mattina","Oyun bugünlük bitti, yeni günün oyunu saat %d'da tekrar başlayacak."
GAME_STARTED,Good morning! Dodo has started a new game.,Buon giorno! Un nuovo gioco è iniziato.,"Günaydın, yeni oyun başladı."
GAME_ENDED,The game has ended for today. Thank you for playing!,"Il gioco è terminato per oggi, grazie per aver giocato.","Oyun bugünlük bitti, oynadığınız için teşekkürler. Yeni günün oyunu yarın saat 9:00'da başlayacak."
THANKS_FOR_REVIEW,%s! You earned %d points.,%s! Hai guadagnato %d punti.,%s! %d puan kazandın.
WELCOME_MESSAGE_1,"Hello, my name is Dodo.","Ciao, sono Dodo.",Merhaba ben Dodo.
WELCOME_MESSAGE_2,"I'm trying to learn English, but I have trouble understanding idioms.",Sto cercando di imparare l'italiano ma ho difficoltà a capire i modi di dire.,Türkçe öğrenmeye çalışıyorum ancak deyimleri anlamakta çok zorlanıyorum.
WELCOME_MESSAGE_3,Can you help me?,Mi aiuti?,Bana yardım eder misin?
WELCOME_MESSAGE_4,Wonder how?,Ti chiedi come puoi aiutarmi?,Nasıl mı?
WELCOME_MESSAGE_5,I need plenty of idiom  and non-idiom examples.,Semplice! Dammi diversi esempi di modi di dire italiani e di frasi in cui le stesse espressioni non sono usate come modi di dire ma nei loro significati letterali.,Bana hem deyim olan hem de deyim olmayan bol bol örnek lazım.
WELCOME_MESSAGE_6,"For example, in order to learn the idiom ""Give up""\nI need an idiom example such as ""Ok, I give up now."" \n and a non-idiom example such as ""Can you give that book up to me?"" ","Per esempio, per imparare il modo di dire ""prendere all'amo""\n ho bisogno di una frase come ""Sa come prendere all'amo il suo capo"" \n  e un di un’altra in cui la stessa espressione non viene usata in modo  idiomatico. Ad esempio: ""Ha preso all'amo una bella trota"".",Mesela “ayvayı yemek” deyimini öğrenmem için\n“İşte şimdi ayvayı yedik.” deyim örneği\n“Az önce iki ayva yedim.” deyim olmayan örnek
WELCOME_MESSAGE_7,"Now, click on <b><u>Today's Idiom</u></b> from the keyboard.","Ora, clicca su <b><u>Modo di dire del giorno</u></b> sulla tastiera.",Şimdi bugünün deyimini seçmek için klavyeden <b><u>Günün Deyimi</u></b>'ni seç
WELCOME_MESSAGE_8,"If you can't see the keyboard, click on the rectangular shape as shown in the picture.",Se non vedi la tastiera clicca sulla forma rettangolare come nella figura.,Eğer klavyeyi göremiyorsan resimde görülen içinde dört tane daire olan dikdörtgene tıkla.
TODAYS_MWE_HELP_MESSAGE_1,"Awesome, now that you know today's idiom, you can help me learn it by sending me some examples.","Benissimo, ora che conosci il modo di dire di oggi, mi puoi aiutare a impararlo suggerendo qualche esempio. ","Harika, günün deyimini öğrendiğine göre artık örnek göndererek öğrenmeme yardımcı olabilirsin.."
TODAYS_MWE_HELP_MESSAGE_2,"To send an example, click <b><u>Submit</u></b> from the keyboard.","Per suggerire un esempio, clicca <b><u>Suggerisci</u></b> sulla tastiera.",Örnek göndermek için klavyeden <b><u>Örnek Gönder</u></b>'e tıkla..
SUBMISSION_HELP_MESSAGE_1,"In this section, you can submit an example for the idiom of the day. You'll start earning points when other players like your example.","In questa sezione, puoi suggerire un esempio per il modo di dire di oggi.",Bu kısımda günün deyimi için örnek gönderebilirsin. Daha sonra diğer oyuncular senin örneğini beğendiğinde puan kazanacaksın.
REVIEW_HELP_MESSAGE_1,"In this section, you can review other players' submissions.","In questa sezione, puoi valutare i suggerimenti degli altri giocatori.",Bu kısımda diğer oyuncuların gönderdiği örnekleri oylayabilirsin.
REVIEW_HELP_MESSAGE_2,Both you and the players you review will earn points.,Sia tu che il giocatore che valuti guadagnerete punti.,Hem sen hem de örneklerini oyladığın kişiler puan kazanacak.
HINT_MESSAGE_1,"Pro tip! Examples where the words that make up the phrase are next to each other within a sentence, but do not form an idiom, now earn more points. Ex: Will you please <b><u>give up</u></b> that book to me?",Forza dai! Esempi in cui le parole che compongono il modo di dire sono vicine ma non vengono usate in senso idiomatico guadagnano ora più punti. Es.: Ha preso all'amo una bella trota.,Acele et! Deyimi oluşturan sözcüklerin cümle içerisinde yanyana geldiği ancak deyim anlamı oluşturmadıkları örnekler şu anda daha çok puan kazandırıyor. Örn: “Bugün üç <b><u>ayva yedim</u></b>.
HINT_MESSAGE_2,Review others' submissions to earn more points.,Valuta i suggerimenti degli altri per guadagnare più punti.,Daha fazla puan kazanmak için başkalarının örneklerini oylayabilirsin.
HINT_MESSAGE_3,Might some other words appear between the idiom's words?  \nExample: Will you <b><u>give</u></b> smoking <b><u>up</u></b>?\nI have very few examples like this.😢  Help me out - you win more points with such examples.,Sai che talvolta ci possono essere altre parole tra le parole del modo di dire? \nEsempio: L'ha <b><u>preso</u></b> proprio <b><u>all'amo</u></b>il suo capo!\nHo pochi esempi di questo tipo.😢 Dai forza! Puoi guadagnare più punti con questi esempi.,Deyimi oluşturan sözcüklerin arasına başka sözcükler de girebiliyormuş.\nÖrn: “İyi mi olur yoksa <b><u>ayvayı</u></b> mı <b><u>yeriz</u></b> göreceğiz”.\nBöyle örneğim çok az 😢 Acele et. Şu anda bu tür örneklerle daha fazla puan kazanabilirsin.
ERROR_OCCURRED,"Drat, I had a hiccup. Can you give me a little while and try again?","C'è stato un errore, prova di nuovo più tardi.","Bir hata oldu, lütfen daha sonra tekrar dene."
NO_SUB_LEFT_TO_REVIEW,I'm out of submissions for you to review for now. Please come back later! Thank you for your reviews.,"Non ci sono altri suggerimenti da valutare per ora, prova dopo. Grazie per il tuo aiuto.","Şu anlık oylayabileceğin başka bir örnek kalmadı, daha sonra tekrar oylamayı deneyebilirsin. Örnekleri oyladığın için teşekkürler."
SCOREBOARD_EMPTY,Scoreboard is empty for now. You can get a head start by sending submissions.,La classifica ora è vuota. Puoi iniziare subito a guadagnare punti inviando i tuoi suggerimenti.,Bugün sıralamalar henüz oluşmamış. Örnek gönderip oylayarak sıralamalarda öne geçebilirsin.
SUBMISSION_CANCELLED,Submission cancelled.,Suggerimento cancellato.,Gönderi iptal edildi.
SUBMISSION_CONTAINS_ERROR,An error occured when I was trying to process your submission. Please enter a different one.,"Si è verificato un errore durante il tentativo di elaborare il tuo suggerimento, proponine un altro.","Girdiğin örneği işlemeye çalışırken bir hatayla karşılaştım, lütfen başka bir örnek gir."
ACHIEVEMENTS,Achievements,Obiettivi,Başarımlar
LEVEL_MESSAGE,<b>Your score:</b> %.2f\n<b>Your level:</b>%d (next: %d points),<b>Il tuo punteggio:</b> %.2f\n<b>Il tuo livello:</b>%d (dopo: %d punti),<b>Toplam Skorun:</b> %.2f\n<b>Seviyen:</b> %d (Bir sonraki: %d puanda)
FIRST_SUB_ACH_NAME,First submission!,Primo suggerimento!,İlk Gönderi!
FIRST_SUB_ACH_DESC,Send the first submission of the day.,Invia il tuo primo suggerimento del giorno.,Günün ilk gönderisini gönder.
FIRST_SUB_ACH_CONGRATS_MSG,Congratulations! You've sent the first submission of the day and won the 🌅 <b><u>First Submission!</u></b> achievement.,Congratulazioni! Hai inviato il primo suggerimento del giorno e hai raggiunto l'obiettivo 🌅 <b> <u> Primo suggerimento! </u> </b>.,Tebrikler! Günün ilk gönderisini gönderdin ve 🌅 <b><u>İlk Gönderi</u></b> başarımını açtın.
EARLY_BIRD_ACH_NAME,Early Bird,Mattiniero,Erkenci Kuş
EARLY_BIRD_ACH_DESC,Send a submission in the first half hour after the game started.,Invia un suggerimento nella prima mezz'ora dall'inizio del gioco.,Oyun başladıktan sonraki ilk yarım saat içerisinde bir örnek gönder.
EARLY_BIRD_ACH_CONGRATS_MSG,Congratulations! You've sent a submission in the first half hour and won the 🐦 <b><u>Early Bird</u></b> achievement.,Congratulazioni! Hai inviato un suggerimento nella prima mezz'ora e hai raggiunto l'obiettivo 🐦 <b><u>Mattiniero</u></b>.,Tebrikler! Oyunun ilk yarım saatinde örnek gönderdin ve 🐦 <b><u>Erkenci Kuş</u></b> başarımını açtın.
UNLOCKED_ACHIEVEMENTS,<b>Unlocked achievements</b>,<b>Obiettivi sbloccati</b>,<b>Açılan başarımlar</b>
SUB_LVL_1_ACH_NAME,Just starting out,Appena iniziato,Daha yeni başlıyorum
SUB_LVL_1_ACH_DESC,Send 5 submissions in a day.,Invia 5 suggerimenti al giorno.,Bir günde 5 gönderi gönder.
SUB_LVL_1_ACH_CONGRATS_MSG,Congratulations! You've sent your fifth submission and won the <b><u>Just starting out</u></b> achievement.,Congratulazioni! Hai inviato il tuo quinto suggerimento e hai raggiunto l'obiettivo  <b><u>Appena iniziato</u></b> .,Tebrikler! Beşinci gönderini gönderdin ve 🎇 <b><u>Daha yeni başlıyorum</u></b> başarımını açtın.
LOCKED_ACHIEVEMENTS,<b>Locked achivements</b>,<b>Obiettivi bloccati</b>,<b>Kilitli başarımlar</b>
SUB_LVL_2_ACH_NAME,Author,Autore,Yazar
SUB_LVL_2_ACH_DESC,Send 10 submissions in a day.,Invia 10 suggerimenti al giorno.,Bir günde 10 gönderi gönder.
SUB_LVL_2_ACH_CONGRATS_MSG,Congratulations! You've sent your tenth submission and won the ✍️<b><u>Author</u></b> achievement.,Congratulazioni! Hai inviato il tuo decimo suggerimento e hai raggiunto l'obiettivo  <b><u>Autore</u></b> .,Tebrikler! Onuncu gönderini gönderdin ve ✍️<b><u>Yazar</u></b> başarımını açtın.
SUB_LVL_3_ACH_NAME,Master of Submissions,Campione di suggerimenti,Gönderi Üstadı
SUB_LVL_3_ACH_DESC,Send 20 submissions in a day.,Invia 20 suggerimenti al giorno,Bir günde 20 gönderi gönder.
SUB_LVL_3_ACH_CONGRATS_MSG,Congratulations! You've sent your twentieth submission and won the 🗿 <b><u>Master of Submissions</u></b> achievement.,Congratulazioni! Hai inviato il tuo ventesimo suggerimento e ti è stato attribuito l'obiettivo  <b><u>Campione dei suggerimenti</u></b> .,Tebrikler! Yirminci gönderini gönderdin ve 🗿 <b><u>Gönderi Üstadı</u></b> başarımını açtın.
SUB_LVL_4_ACH_NAME,Idioms Dictionary,Dizionario dei modi di dire,Deyimler Sözlüğü
SUB_LVL_4_ACH_DESC,Send 40 submissions in a day.,Invia 40 suggerimenti al giorno,Bir günde 40 gönderi gönder.
SUB_LVL_4_ACH_CONGRATS_MSG,Congratulations! You've sent your fortieth submission and won the 📚 <b><u>Idioms Dictionary</u></b> achievement.,Congratulazioni! Hai inviato il tuo quarantesimo suggerimento e ti è stato attribuito l'obiettivo  <b><u>Dizionario dei modi di dire</u></b> .,Tebrikler! Kırkıncı gönderini gönderdin ve 📚 <b><u>Deyimler Sözlüğü</u></b> başarımını açtın.
SUB_LVL_5_ACH_NAME,Human Corpus,Libro vivente,İki Ayaklı Derlem
SUB_LVL_5_ACH_DESC,Send 70 submissions in a day.,Invia 70 suggerimenti al giorno,Bir günde 70 gönderi gönder.
SUB_LVL_5_ACH_CONGRATS_MSG,Congratulations! You've sent your seventieth submission and won the 🦄 <b><u>Human Corpus</u></b> achievement.,Congratulazioni! Hai inviato il tuo settantesimo suggerimento e ti è stato attribuito l'obiettivo  <b><u>Libro vivente</u></b> .,Tebrikler! Yetmişinci gönderini gönderdin ve 🦄 <b><u>İki Ayaklı Derlem</u></b> başarımını açtın.
REVIEW_LVL_1_ACH_NAME,Helpful,Collaborativo,Yardımsever
REVIEW_LVL_1_ACH_DESC,Review 10 submissions in a day.,Valuta 10 suggerimenti in un giorno.,Bir günde 10 gönderiyi oyla.
REVIEW_LVL_1_ACH_CONGRATS_MSG,Congratulations! You've rated ten submissions and earned the 🤝 <b><u>Helpful</u></b> achievement.,Congratulazioni! Hai valutato 10  suggerimenti e ti è stato attribuito l'obiettivo  <b><u>Collaborativo</u></b> .,Tebrikler! On gönderiyi oyladın ve 🤝 <b><u>Yardımsever</u></b> başarımını açtın.
REVIEW_LVL_2_ACH_NAME,Voter,Cavallo di razza,Seçmen
REVIEW_LVL_2_ACH_DESC,Review 20 submissions in a day.,Valuta 20 suggerimenti in un giorno.,Bir günde 20 gönderiyi oyla.
REVIEW_LVL_2_ACH_CONGRATS_MSG,Congratulations! You've rated twenty submissions and earned the <b><u>Voter</u></b> achievement.,Congratulazioni! Hai valutato 20  suggerimenti e ti è stato attribuito l'obiettivo  <b><u>Cavallo di razza</u></b> .,Tebrikler! Yirmi gönderiyi oyladın ve 🗳️ <b><u>Seçmen</u></b> başarımını açtın.
REVIEW_LVL_3_ACH_NAME,Critique,Critico,Kritik
REVIEW_LVL_3_ACH_DESC,Review 40 submissions in a day.,Valuta 40 suggerimenti in un giorno.,Bir günde 40 gönderiyi oyla.
REVIEW_LVL_3_ACH_CONGRATS_MSG,Congratulations! You've rated forty submissions and earned the ✨ <b><u>Critique</u></b> achievement.,Congratulazioni! Hai valutato 40 suggerimenti e ti è stato attribuito l'obiettivo  <b><u>Critico</u></b> .,Tebrikler! Kırk gönderiyi oyladın ve ✨ <b><u>Kritik</u></b> başarımını açtın.
REVIEW_LVL_4_ACH_NAME,Gourmet,Intenditore,Gurme
REVIEW_LVL_4_ACH_DESC,Review 80 submissions in a day.,Valuta 80 suggerimenti in un giorno.,Bir günde 80 gönderiyi oyla.
REVIEW_LVL_4_ACH_CONGRATS_MSG,Congratulations! You've rated eighty submissions and earned the 🧑‍🍳 <b><u>Gourmet</u></b> achievement.,Congratulazioni! Hai valutato 80 suggerimenti e ti è stato attribuito l'obiettivo  <b><u>Intenditore</u></b> .,Tebrikler! Seksen gönderiyi oyladın ve 🧑‍🍳 <b><u>Gurme</u></b> başarımını açtın.
REVIEW_LVL_5_ACH_NAME,Reviewer,Revisore,Eleştirmen
REVIEW_LVL_5_ACH_DESC,Review 160 submissions in a day.,Valuta 160 suggerimenti in un giorno.,Bir günde 160 gönderiyi oyla.
REVIEW_LVL_5_ACH_CONGRATS_MSG,Congratulations! You've rated one hundred and sixty submissions and earned the 🕶️ <b><u>Reviewer</u></b> achievement.,Congratulazioni! Hai valutato 160 suggerimenti e ti è stato attribuito l'obiettivo  <b><u>Revisore</u></b> .,Tebrikler! Yüz altmış gönderiyi oyladın ve 🕶️ <b><u>Eleştirmen</u></b> başarımını açtın.
USER_DAILY_PLAY_DETAILS_MESSAGE,Your submission count today: <b><u>%d</u></b>\nYour review count today: <b><u>%d</u></b>,Numero di tuoi suggerimenti di oggi: <b><u>%d</u></b>\nNumero di tue revisioni di oggi: <b><u>%d</u></b>,Bugünkü gönderi sayınız: <b><u>%d</u></b>\nBugünkü inceleme sayınız: <b><u>%d</u></b>
BECOME_NUMBER_ONE_ACH_NAME,Leader,Leader,Lider
BECOME_NUMBER_ONE_ACH_DESC,Be at the top of the scoreboard.,Sali in cima alla classifica,Sıralamalarda birinci ol.
BECOME_NUMBER_ONE_ACH_CONGRATS_MSG,Congratulations! You've risen to the top of the rankings and been awarded with the 🥇 <b><u>Leader</u></b> achievement.,Congratulazioni! Sei salito in cima alla classifica e ti è stato attribuito l'obiettivo  <b><u>Leader</u></b> .,Tebrikler! Sıralamalarda birinci sıraya yerleştin ve 🥇 <b><u>Lider</u></b> başarımını açtın.
CHAMPION_ACH_NAME,Champion!,Campione  ,Şampiyon!
CHAMPION_ACH_DESC,Finish the day as the leader.,Concludi il giorno da leader,Günü birinci bitir.
CHAMPION_ACH_CONGRATS_MSG,Congratulations! You've finished the day as the leader and been awarded with the 🎖️ <b><u>Champion!</u></b> achievement.,Congratulazioni! Hai concluso il tuo giorno da leader e ti è stato attribuito l'obiettivo  <b><u>Campione</u></b> .,Tebrikler! Günü birinci bitirdin ve 🎖️ <b><u>Şampiyon!</u></b> başarımını açtın.
LOST_FIRST_FIVE,"😰 Whoops! You've been bumped out of the leaderboard. No worries, you can increase your ranking by submitting new examples and rating others.","😰 Ops! Sei uscito dalla classifica. Non ti preoccupare, puoi scalare la classifica inviando nuovi esempi e valutando gli altri esempi.","😰 Tüh, sıralamalarda ilk beşten düştün. Endişelenme! Hemen geri dönüp oynamaya devam et!"
YOUVE_BECOME_LEADER,🥳 Congratulations! You reached the first place on the leaderboard.,🥳 Congratulazioni! Sei in cima alla classifica.,🥳 Tebrikler! Sıralamalarda ilk sıraya yerleştin.
POS_SEP_WORTH_MORE,"Psst! For a limited time, the idiom examples where the idiom's words are not adjacent to each other earn 15 points instead of 10 points. (Ex: I <b><u>gave</u></b> <i>everything</i> <b><u>up</u></b> for you.).","Sbrigati, per un tempo limitato gli esempi dove le parole del modo di dire non sono vicine  valgono 15 punti, invece di 10. (Ex: Ha<b><u>preso</u></b> <i>il suo capo proprio</i> <b><u>all'amo</u></b> .).","Selam, kısa bir süreliğine deyim olan ama kelimeleri ayrı olan örnekler (Örneğin: Bugün de <b><u>ayvayı</u></b> <i>ben</i> <b><u>yedim</u></b>.) 10 puan yerine 15 puan kazandırıyor."
POS_TOG_WORTH_MORE,"Psst! For a limited time idiomatic examples are worth 15 points, instead of 10.","Sbrigati, per un tempo limitato gli esempi idiomatici valgono 15 punti, invece di 10.","Acele et, kısa bir süreliğine deyim olan örnekler 10 puan yerine 15 puan kazandırıyor."
NEG_TOG_WORTH_MORE,"Psst! For a limited time, non-idiom examples (such as: Will you please <b><u>give up</u></b> that book to me?) are worth 15 points, instead of 10.","Sbrigati, per un tempo limitato, esempi non idiomatici (es: ""Ha <b><u>preso all'amo</u></b> una bella trota"" ) valgono 15 punti, invece di 10.","Acele et, kısa bir süreliğine deyim olmayan örnekler 10 puan yerine 15 puan kazandırıyor."
REPORT_SUBMISSION,❗ Report submission,❗Segnala un suggerimento,❗ Örneği şikayet et
REPORT_SUBMISSION_REPLY,Thanks for keeping Dodiom a better place by reporting bad submissions.,Grazie per rendere Dodiom un posto migliore segnalando suggerimenti inappropriati.,Kötü örnekleri şikayet ederek Dodiom'u daha iyi bir yer haline getirdiğin için teşekkür ederiz.
USER_IS_BANNED_MESSAGE,"Unfortunately, your account has been banned from participating.","Ci dispiace, il tuo account è stato sospeso.",Üzülerek belirtirim ki senin hesabın oynamaktan men edilmiş.
LOST_FIRST_THREE,😰 Bad news. You've lost your place in the Top 3. Keep playing and regain your ranking!,😰 Cattive notizie. Hai perso la tua posizione tra i primi 3. Continua a giocare e riconquista la tua posizione.,😰 Çok üzücü. İlk üçteki yerini kaybettin. Oynamaya devam et! Yerini geri kazan!
REVIEW_WORTH_MORE,Lucky minutes! Review scores has been doubled for a limited time.,"Minuti fortunati, il punteggio per le valutazioni è stato raddoppiato per un periodo di tempo limitato.",Şanslı Dakikalar! Kısa süreliğine oylama yapmak 2 kat puan kazandırıyor.
LOST_FIRST,Someone grabbed first place from you. Keep playing to get it back!,"Qualcuno ti ha soffiato il primo posto, sbrigati a riconquistarlo.",Başka biri birinciliği elinden aldı. Acil müdahale etmelisin!
HINT_MESSAGE_4,Idiom examples are worth more points now. Keep on submitting examples.,Ora gli esempi di modi di dire valgono più punti. Continua a inviare suggerimenti.,Deyim olan örnekler şu anda daha çok puan kazandırıyor. Örnek girmeye devam et!
ASKFORHELP,Dodo needs %d more examples to learn today's idiom. Could you please help?,Dodo ha bisogno di altri %d esempi per imparare il modo di dire di oggi. Puoi aiutarlo?,Dodonun bugünkü deyimi öğrenebilmesi için halen %d tane örneğe ihtiyacı var. Lütfen yardım eder misin?
TODAYS_TARGET,Dodo needs %d more examples to learn today's idiom.,Dodo ha bisogno di altri %d esempi per imparare il modo di dire di oggi.,Dodonun bugünkü deyimi öğrenebilmesi için halen %d tane örneğe ihtiyacı var. 
TWITTER_TIP,"Pro tip! Search Twitter with today's idiom to find examples from the real world. Make sure to edit away bad spelling, #hashtags, and the like.",Suggerimento: Cerca su Twitter il modo di dire di oggi per trovare degli esempi d'uso reali. Assicurati di usare l'ortografia corretta e di evitare #hashtag o simili.,
GAME_TEMPORARILY_STOPPED,"Thank you for your interest, Dodo took a break from learning for now and will come back with surprises, stay tuned.","Grazie per il tuo interesse, Dodo si è preso una pausa ma tornerà presto con delle sorprese. Rimanete sintonizzati!","Oyuna ilgin için teşekkürler. Dodo şimdilik öğrenmeye ara verdi ama sürprizlerle geri dönecek, beklemede kal."
