idiom,submission,category,rating,likes,dislikes,reports,idiom_indices,idiom_words,lemmas,words
adım atmak,"Ayaklarımq kara sular indi, bir adım daha atacak halim yok inan.",nonidiom,0.5,2,0,2,"[6, 8]","['adım', 'atacak']","['Ayaklarımq', 'kara', 'su', 'inmek', ',', 'bir', 'adım', 'daha', 'atmak', 'hal', 'yok', 'inan', '.']","['Ayaklarımq', 'kara', 'sular', 'indi', ',', 'bir', 'adım', 'daha', 'atacak', 'halim', 'yok', 'inan', '.']"
adım atmak,AÖF bütünleme sınavında geri adım mı atılacak?,idiom,0.6666666666666666,2,0,1,"[4, 6]","['adım', 'atılacak']","['Aöf', 'bütünlemek', 'sınav', 'geri', 'adım', 'mı', 'atmak', '?']","['AÖF', 'bütünleme', 'sınavında', 'geri', 'adım', 'mı', 'atılacak', '?']"
adım atmak,"Bak sen bir adım at, emin ol o sana koşarak gelecektir.",idiom,0.75,3,0,1,"[3, 4]","['adım', 'at']","['bakmak', 'se', 'bir', 'adım', 'atmak', ',', 'em', 'olmak', 'o', 'sanmak', 'koşmak', 'gelecek', '.']","['Bak', 'sen', 'bir', 'adım', 'at', ',', 'emin', 'ol', 'o', 'sana', 'koşarak', 'gelecektir', '.']"
adım atmak,Barışmak üzere bir adım attı.,idiom,0.75,3,0,1,"[3, 4]","['adım', 'attı']","['barışmak', 'üzere', 'bir', 'adım', 'atmak', '.']","['Barışmak', 'üzere', 'bir', 'adım', 'attı', '.']"
adım atmak,Bebek ilk adımlarını atmaya başlamıştı.,nonidiom,0.75,3,0,1,"[2, 3]","['adımlarını', 'atmaya']","['bebek', 'ilk', 'adım', 'atmak', 'başlamak', '.']","['Bebek', 'ilk', 'adımlarını', 'atmaya', 'başlamıştı', '.']"
adım atmak,Bebek ilk kez adım attı.,nonidiom,1.0,3,0,0,"[3, 4]","['adım', 'attı']","['bebek', 'ilk', 'kez', 'adım', 'atmak', '.']","['Bebek', 'ilk', 'kez', 'adım', 'attı', '.']"
adım atmak,Bebeğimiz bugün ilk adımını attı 🤗,nonidiom,0.75,3,0,1,"[3, 4]","['adımını', 'attı']","['bebek', 'bugün', 'ilk', 'adım', 'atmak', '🤗']","['Bebeğimiz', 'bugün', 'ilk', 'adımını', 'attı', '🤗']"
adım atmak,Bir işe adımını atmadan önce iki kere düşün.,idiom,0.6666666666666666,2,0,1,"[2, 3]","['adımını', 'atmadan']","['bir', 'işemek', 'adım', 'atmak', 'önce', 'iki', 'kere', 'düş', '.']","['Bir', 'işe', 'adımını', 'atmadan', 'önce', 'iki', 'kere', 'düşün', '.']"
adım atmak,Bu hayata adım atmak kolay mı sanıyorsun?,idiom,0.6666666666666666,2,0,1,"[2, 3]","['adım', 'atmak']","['bu', 'hayat', 'adım', 'atmak', 'kolay', 'mı', 'sanmak', '?']","['Bu', 'hayata', 'adım', 'atmak', 'kolay', 'mı', 'sanıyorsun', '?']"
adım atmak,Bugün o kadar çok adım attım ki aşırı yoruldum.,nonidiom,0.75,3,0,1,"[4, 5]","['adım', 'attım']","['bugün', 'o', 'kadar', 'çok', 'adım', 'atmak', 'ki', 'aşırı', 'yormak', '.']","['Bugün', 'o', 'kadar', 'çok', 'adım', 'attım', 'ki', 'aşırı', 'yoruldum', '.']"
adım atmak,Bugün yirmi bin adım atmışım.,nonidiom,0.6666666666666666,2,0,1,"[3, 4]","['adım', 'atmışım']","['bugün', 'yirmi', 'bin', 'adım', 'atmak', '.']","['Bugün', 'yirmi', 'bin', 'adım', 'atmışım', '.']"
adım atmak,"Bölüm başkanı, akademik dünyaya adım atan genç araştırmacılarla tek tek ilgilendi.",idiom,0.5,1,0,1,"[5, 6]","['adım', 'atan']","['bölüm', 'başka', ',', 'akademik', 'Dünya', 'adım', 'atmak', 'Genç', 'araştırma', 'tek', 'tek', 'ilgi', '.']","['Bölüm', 'başkanı', ',', 'akademik', 'dünyaya', 'adım', 'atan', 'genç', 'araştırmacılarla', 'tek', 'tek', 'ilgilendi', '.']"
adım atmak,Bütün zorluklara rağmen yeni bir işe adım attı.,idiom,1.0,3,0,0,"[6, 7]","['adım', 'attı']","['bütün', 'zor', 'rağmen', 'yen', 'bir', 'işemek', 'adım', 'atmak', '.']","['Bütün', 'zorluklara', 'rağmen', 'yeni', 'bir', 'işe', 'adım', 'attı', '.']"
adım atmak,Büyükçe bir adım atarak çukurun üstünden atladı.,nonidiom,0.75,3,0,1,"[2, 3]","['adım', 'atarak']","['Büyük', 'bir', 'adım', 'atmak', 'çukur', 'üst', 'atlamak', '.']","['Büyükçe', 'bir', 'adım', 'atarak', 'çukurun', 'üstünden', 'atladı', '.']"
adım atmak,"Gerçekten bu konuda adım atmaya cesaretim yok, zorlama beni.",idiom,0.6666666666666666,2,0,1,"[3, 4]","['adım', 'atmaya']","['gerçek', 'bu', 'konu', 'adım', 'atmak', 'Cesaret', 'yok', ',', 'zorlamak', 'ben', '.']","['Gerçekten', 'bu', 'konuda', 'adım', 'atmaya', 'cesaretim', 'yok', ',', 'zorlama', 'beni', '.']"
adım atmak,Her gün on bin adım atmak kal ve damar hastalıklarını önlemede önemli bir etken.,nonidiom,0.75,3,0,1,"[4, 5]","['adım', 'atmak']","['her', 'gün', 'onmak', 'bin', 'adım', 'atmak', 'kal', 've', 'damar', 'hastalık', 'önlemek', 'önem', 'bir', 'etken', '.']","['Her', 'gün', 'on', 'bin', 'adım', 'atmak', 'kal', 've', 'damar', 'hastalıklarını', 'önlemede', 'önemli', 'bir', 'etken', '.']"
adım atmak,Imzamı adımın yanına attım.,nonidiom,1.0,3,0,0,"[1, 3]","['adımın', 'attım']","['Imzamı', 'adım', 'yan', 'atmak', '.']","['Imzamı', 'adımın', 'yanına', 'attım', '.']"
adım atmak,O kuleler için geri adım mı atılacak?,idiom,0.6666666666666666,2,0,1,"[4, 6]","['adım', 'atılacak']","['o', 'kule', 'içmek', 'geri', 'adım', 'mı', 'atmak', '?']","['O', 'kuleler', 'için', 'geri', 'adım', 'mı', 'atılacak', '?']"
adım atmak,Oğlumun ilk adım atışını görememek bir ömür boyu içimde ukte kalacak.,nonidiom,0.6666666666666666,2,0,1,"[2, 3]","['adım', 'atışını']","['oğul', 'ilk', 'adım', 'atmak', 'görmek', 'bir', 'Ömür', 'boy', 'iç', 'ukte', 'kalmak', '.']","['Oğlumun', 'ilk', 'adım', 'atışını', 'görememek', 'bir', 'ömür', 'boyu', 'içimde', 'ukte', 'kalacak', '.']"
adım atmak,Petrol yasasında geri adım mı atılacak.,idiom,0.6666666666666666,2,0,1,"[3, 5]","['adım', 'atılacak']","['petrol', 'Yasa', 'geri', 'adım', 'mı', 'atmak', '.']","['Petrol', 'yasasında', 'geri', 'adım', 'mı', 'atılacak', '.']"
adım atmak,Projede kritik adımlar atılmadan önce durum değerlendirmesi yapılması şirketimizde iş süreçlerinin vazgeçilmez bir parçasıdır,idiom,1.0,4,0,0,"[2, 3]","['adımlar', 'atılmadan']","['proje', 'kritik', 'adım', 'atmak', 'önce', 'duru', 'Değer', 'yapmak', 'şirket', 'iş', 'süreç', 'vazgeçilmez', 'bir', 'parça']","['Projede', 'kritik', 'adımlar', 'atılmadan', 'önce', 'durum', 'değerlendirmesi', 'yapılması', 'şirketimizde', 'iş', 'süreçlerinin', 'vazgeçilmez', 'bir', 'parçasıdır']"
adım atmak,Sanat yaşamına adım attığı ilk yıllardan bu yana motivasyonundan hiçbir şey kaybetmedi.,idiom,0.75,3,0,1,"[2, 3]","['adım', 'attığı']","['sanat', 'Yaşam', 'adım', 'atmak', 'ilk', 'yıl', 'bu', 'yana', 'motivasyon', 'hiçbir', 'şey', 'kaybetmek', '.']","['Sanat', 'yaşamına', 'adım', 'attığı', 'ilk', 'yıllardan', 'bu', 'yana', 'motivasyonundan', 'hiçbir', 'şey', 'kaybetmedi', '.']"
adım atmak,"Sen bu adama adım mı attın ki, o sana yakınlaşabilsin.",idiom,0.75,3,0,1,"[3, 5]","['adım', 'attın']","['se', 'bu', 'ada', 'adım', 'mı', 'atmak', 'ki', ',', 'o', 'sanmak', 'yakın', '.']","['Sen', 'bu', 'adama', 'adım', 'mı', 'attın', 'ki', ',', 'o', 'sana', 'yakınlaşabilsin', '.']"
adım atmak,Tırmanış yaparken atılan her adımın yaşamsal bir önemi olduğu unutulmamalıdır.,nonidiom,0.75,3,0,1,"[4, 2]","['adımın', 'atılan']","['tırmanmak', 'yapmak', 'atmak', 'her', 'adım', 'Yaşam', 'bir', 'önem', 'olmak', 'unutmak', '.']","['Tırmanış', 'yaparken', 'atılan', 'her', 'adımın', 'yaşamsal', 'bir', 'önemi', 'olduğu', 'unutulmamalıdır', '.']"
adım atmak,Uzun süre hastanede kaldıktan sonra dışarıya ilk adımını atarken tereddütteydi.,nonidiom,0.75,3,0,1,"[7, 8]","['adımını', 'atarken']","['uz', 'süre', 'hastane', 'kalmak', 'sonra', 'dışarı', 'ilk', 'adım', 'atmak', 'tereddüt', '.']","['Uzun', 'süre', 'hastanede', 'kaldıktan', 'sonra', 'dışarıya', 'ilk', 'adımını', 'atarken', 'tereddütteydi', '.']"
adım atmak,Veri bilimine ilk defa adım attılar.,idiom,1.0,3,0,0,"[4, 5]","['adım', 'attılar']","['veri', 'bilim', 'ilk', 'defa', 'adım', 'atmak', '.']","['Veri', 'bilimine', 'ilk', 'defa', 'adım', 'attılar', '.']"
adım atmak,Yeni bir deneyime adım atıyorum.,idiom,0.75,3,0,1,"[3, 4]","['adım', 'atıyorum']","['yen', 'bir', 'deneyim', 'adım', 'atmak', '.']","['Yeni', 'bir', 'deneyime', 'adım', 'atıyorum', '.']"
adım atmak,Yeni bir işe adım attı.,idiom,1.0,4,0,0,"[3, 4]","['adım', 'attı']","['yen', 'bir', 'işemek', 'adım', 'atmak', '.']","['Yeni', 'bir', 'işe', 'adım', 'attı', '.']"
adım atmak,Yeni kariyerine ilk adımını attı.,idiom,1.0,4,0,0,"[3, 4]","['adımını', 'attı']","['yen', 'kariyer', 'ilk', 'adım', 'atmak', '.']","['Yeni', 'kariyerine', 'ilk', 'adımını', 'attı', '.']"
adım atmak,Yeni teknolojiyi projeye uygulamak için gerek ilk adımları atmaya başlamıştı.,idiom,0.5,2,1,1,"[7, 8]","['adımları', 'atmaya']","['yen', 'teknoloji', 'proje', 'uygulamak', 'içmek', 'gerekmek', 'ilk', 'adım', 'atmak', 'başlamak', '.']","['Yeni', 'teknolojiyi', 'projeye', 'uygulamak', 'için', 'gerek', 'ilk', 'adımları', 'atmaya', 'başlamıştı', '.']"
adım atmak,Yola adımını atacağı anda önünden jet hızıyla bir motosiklet geçti.,nonidiom,0.75,3,0,1,"[1, 2]","['adımını', 'atacağı']","['yol', 'adım', 'atmak', 'ant', 'önünden', 'jet', 'hız', 'bir', 'motosiklet', 'geç', '.']","['Yola', 'adımını', 'atacağı', 'anda', 'önünden', 'jet', 'hızıyla', 'bir', 'motosiklet', 'geçti', '.']"
adım atmak,Yoğun iş gününün sonunda eve geldiğimde adım atacak halde değildim.,nonidiom,0.6666666666666666,2,0,1,"[6, 7]","['adım', 'atacak']","['yoğun', 'iş', 'günü', 'son', 'ev', 'gelmek', 'adım', 'atmak', 'hâl', 'değil', '.']","['Yoğun', 'iş', 'gününün', 'sonunda', 'eve', 'geldiğimde', 'adım', 'atacak', 'halde', 'değildim', '.']"
adım atmak,"Çiftin yeni bir hayata adım attığı bu gecede, tüm konuklarımıza teşekkür ediyorum.",idiom,0.75,3,0,1,"[4, 5]","['adım', 'attığı']","['çift', 'yen', 'bir', 'hayat', 'adım', 'atmak', 'bu', 'gece', ',', 'tüm', 'Konuk', 'teşekkür', 'etmek', '.']","['Çiftin', 'yeni', 'bir', 'hayata', 'adım', 'attığı', 'bu', 'gecede', ',', 'tüm', 'konuklarımıza', 'teşekkür', 'ediyorum', '.']"
adım atmak,İş hayatına adım atacağı ilk gün heyecandan dizleri titriyordu.,idiom,0.75,3,0,1,"[2, 3]","['adım', 'atacağı']","['iş', 'hayat', 'adım', 'atmak', 'ilk', 'gün', 'heyecan', 'diz', 'titremek', '.']","['İş', 'hayatına', 'adım', 'atacağı', 'ilk', 'gün', 'heyecandan', 'dizleri', 'titriyordu', '.']"
altını çizmek,10. soruda doğru cevabın altını çizin lütfen çocuklar.,nonidiom,1.0,4,0,0,"[4, 5]","['altını', 'çizin']","['10', 'soru', 'doğru', 'cevap', 'alt', 'çizmek', 'lütfen', 'Çocuk', '.']","['10.', 'soruda', 'doğru', 'cevabın', 'altını', 'çizin', 'lütfen', 'çocuklar', '.']"
altını çizmek,Alt taraftan geçen yolun orta kısmını çizmişler.,nonidiom,1.0,5,0,0,"[0, 6]","['Alt', 'çizmişler']","['alt', 'taraf', 'geçmek', 'yol', 'orta', 'kısım', 'çizmek', '.']","['Alt', 'taraftan', 'geçen', 'yolun', 'orta', 'kısmını', 'çizmişler', '.']"
altını çizmek,Alt tarafı arabayı çizmişler.,nonidiom,0.8,4,1,0,"[0, 3]","['Alt', 'çizmişler']","['alt', 'taraf', 'araba', 'çizmek', '.']","['Alt', 'tarafı', 'arabayı', 'çizmişler', '.']"
altını çizmek,Alttan almak yerine insanların üzerini çizmek bazen daha mantıklı olabiliyor.,nonidiom,0.8,4,1,0,"[0, 5]","['Alttan', 'çizmek']","['alt', 'almak', 'yer', 'insan', 'Üzer', 'çizmek', 'bazen', 'daha', 'mantık', 'olmak', '.']","['Alttan', 'almak', 'yerine', 'insanların', 'üzerini', 'çizmek', 'bazen', 'daha', 'mantıklı', 'olabiliyor', '.']"
altını çizmek,Altı çizerek söylüyorum artık ne kimsenin yanında ne de arkasındayım.,idiom,0.6,3,2,0,"[0, 1]","['Altı', 'çizerek']","['alt', 'çizmek', 'söylemek', 'artık', 'Ne', 'kimse', 'yan', 'Ne', 'de', 'Arkas', '.']","['Altı', 'çizerek', 'söylüyorum', 'artık', 'ne', 'kimsenin', 'yanında', 'ne', 'de', 'arkasındayım', '.']"
altını çizmek,Altı çizilen konular önemlidir.,nonidiom,0.6,3,2,0,"[0, 1]","['Altı', 'çizilen']","['alt', 'çizmek', 'konu', 'önem', '.']","['Altı', 'çizilen', 'konular', 'önemlidir', '.']"
altını çizmek,Altı çizilmiş kelimelerin anlamını açıklayın.,nonidiom,1.0,4,0,0,"[0, 1]","['Altı', 'çizilmiş']","['alt', 'çizmek', 'kelime', 'anlam', 'açıklamak', '.']","['Altı', 'çizilmiş', 'kelimelerin', 'anlamını', 'açıklayın', '.']"
altını çizmek,"Altını bozdurup,  alınacaklar listesinde üzerini çizmesini istedi.",nonidiom,1.0,5,0,0,"[0, 6]","['Altını', 'çizmesini']","['alt', 'bozmak', ',', 'alınmak', 'liste', 'Üzer', 'çizmek', 'istemek', '.']","['Altını', 'bozdurup', ',', 'alınacaklar', 'listesinde', 'üzerini', 'çizmesini', 'istedi', '.']"
altını çizmek,Altını da çizmek lazım ki meseleler anlaşılsın yeğenim.,idiom,1.0,5,0,0,"[0, 2]","['Altını', 'çizmek']","['alt', 'da', 'çizmek', 'lazım', 'ki', 'mesele', 'an', 'yeğen', '.']","['Altını', 'da', 'çizmek', 'lazım', 'ki', 'meseleler', 'anlaşılsın', 'yeğenim', '.']"
altını çizmek,Altını da çizsen üstünü de çizsen para paradır.,nonidiom,0.8571428571428571,6,1,0,"[0, 2]","['Altını', 'çizsen']","['alt', 'da', 'çizmek', 'Üstün', 'de', 'çizmek', 'par', 'par', '.']","['Altını', 'da', 'çizsen', 'üstünü', 'de', 'çizsen', 'para', 'paradır', '.']"
altını çizmek,Altını kaç defa çizmeme rağmen yine bunu yapıyorsun.,idiom,1.0,5,0,0,"[0, 3]","['Altını', 'çizmeme']","['alt', 'kaç', 'defa', 'çizmek', 'rağmen', 'yine', 'bun', 'yapmak', '.']","['Altını', 'kaç', 'defa', 'çizmeme', 'rağmen', 'yine', 'bunu', 'yapıyorsun', '.']"
altını çizmek,Altını mu üstünü mü çizeceğiz göreceksin.,idiom,0.4,2,3,0,"[0, 4]","['Altını', 'çizeceğiz']","['alt', 'mu', 'Üstün', 'mü', 'çizmek', 'görmek', '.']","['Altını', 'mu', 'üstünü', 'mü', 'çizeceğiz', 'göreceksin', '.']"
altını çizmek,Altını renkli kalemler ile çizdi,nonidiom,1.0,5,0,0,"[0, 4]","['Altını', 'çizdi']","['alt', 'renk', 'kalem', 'ilmek', 'çizmek']","['Altını', 'renkli', 'kalemler', 'ile', 'çizdi']"
altını çizmek,Altını yeterince çizebildiğimi sanmıyorum.,idiom,0.8,4,1,0,"[0, 2]","['Altını', 'çizebildiğimi']","['alt', 'yeterince', 'çizmek', 'sanmak', '.']","['Altını', 'yeterince', 'çizebildiğimi', 'sanmıyorum', '.']"
altını çizmek,Altını çizdiği yerleri bir daha okudu.,nonidiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizdiği']","['alt', 'çizmek', 'yer', 'bir', 'daha', 'okumak', '.']","['Altını', 'çizdiği', 'yerleri', 'bir', 'daha', 'okudu', '.']"
altını çizmek,Altını çizdiğimiz yerleri defterlerinize yazınız.,nonidiom,0.8,4,1,0,"[0, 1]","['Altını', 'çizdiğimiz']","['alt', 'çizmek', 'yer', 'defter', 'yazmak', '.']","['Altını', 'çizdiğimiz', 'yerleri', 'defterlerinize', 'yazınız', '.']"
altını çizmek,Altını çizdiğin satırların özel bir anlamı var mı senin için?,nonidiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizdiğin']","['alt', 'çizmek', 'satır', 'özel', 'bir', 'anlam', 'varmak', 'mı', 'sen', 'içmek', '?']","['Altını', 'çizdiğin', 'satırların', 'özel', 'bir', 'anlamı', 'var', 'mı', 'senin', 'için', '?']"
altını çizmek,Altını çizdiğin yerleri danışmanınla tartışmalısın.,nonidiom,0.8333333333333334,5,1,0,"[0, 1]","['Altını', 'çizdiğin']","['alt', 'çizmek', 'yer', 'danışman', 'tartışmak', '.']","['Altını', 'çizdiğin', 'yerleri', 'danışmanınla', 'tartışmalısın', '.']"
altını çizmek,Altını çize çize kitap okuyor.,nonidiom,1.0,5,0,0,"[0, 1]","['Altını', 'çize']","['alt', 'çizmek', 'çizmek', 'kitap', 'okumak', '.']","['Altını', 'çize', 'çize', 'kitap', 'okuyor', '.']"
altını çizmek,Altını çize çize söylüyorum Eninde sonunda sen de geleceksin.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çize']","['alt', 'çizmek', 'çizmek', 'söylemek', 'en', 'son', 'sen', 'de', 'gelmek', '.']","['Altını', 'çize', 'çize', 'söylüyorum', 'Eninde', 'sonunda', 'sen', 'de', 'geleceksin', '.']"
altını çizmek,Altını çizerek belirtmek isterim ki bunlar gün gelecek meydana çıkacak.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'belirtmek', 'isteri', 'ki', 'bun', 'gün', 'gelmek', 'meydan', 'çıkacak', '.']","['Altını', 'çizerek', 'belirtmek', 'isterim', 'ki', 'bunlar', 'gün', 'gelecek', 'meydana', 'çıkacak', '.']"
altını çizmek,Altını çizerek belirtmek isterim ki hata yaptınız,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'belirtmek', 'isteri', 'ki', 'hata', 'yapmak']","['Altını', 'çizerek', 'belirtmek', 'isterim', 'ki', 'hata', 'yaptınız']"
altını çizmek,Altını çizerek belirtmek isterim ki hata yaptınız,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'belirtmek', 'isteri', 'ki', 'hata', 'yapmak']","['Altını', 'çizerek', 'belirtmek', 'isterim', 'ki', 'hata', 'yaptınız']"
altını çizmek,Altını çizerek söylüyorum bu iş yapılacak.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'bu', 'iş', 'yapmak', '.']","['Altını', 'çizerek', 'söylüyorum', 'bu', 'iş', 'yapılacak', '.']"
altını çizmek,Altını çizerek söylüyorum bunu tekrar yapma,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'bun', 'tekrar', 'yapmak']","['Altını', 'çizerek', 'söylüyorum', 'bunu', 'tekrar', 'yapma']"
altını çizmek,Altını çizerek söylüyorum en iyi teknik üniversite İTÜ'dür.,idiom,0.8333333333333334,5,1,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'en', 'iyi', 'Teknik', 'üniversite', 'İtü', '.']","['Altını', 'çizerek', 'söylüyorum', 'en', 'iyi', 'teknik', 'üniversite', ""İTÜ'dür"", '.']"
altını çizmek,Altını çizerek söylüyorum ki bu şimdiye kadar bana yaptığın en büyük kötülüktü.,idiom,1.0,4,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'ki', 'bu', 'şimdi', 'Kadar', 'ban', 'yapmak', 'en', 'büyük', 'kötülüktü', '.']","['Altını', 'çizerek', 'söylüyorum', 'ki', 'bu', 'şimdiye', 'kadar', 'bana', 'yaptığın', 'en', 'büyük', 'kötülüktü', '.']"
altını çizmek,Altını çizerek söylüyorum ki iyi dinleyin.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'ki', 'iyi', 'dinlemek', '.']","['Altını', 'çizerek', 'söylüyorum', 'ki', 'iyi', 'dinleyin', '.']"
altını çizmek,"Altını çizerek söylüyorum, başka eve taşınmak istemiyorum",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'başka', 'ev', 'taşınmak', 'istemek']","['Altını', 'çizerek', 'söylüyorum', ',', 'başka', 'eve', 'taşınmak', 'istemiyorum']"
altını çizmek,"Altını çizerek söylüyorum, başka eve taşınmak istemiyorum.",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'başka', 'ev', 'taşınmak', 'istemek', '.']","['Altını', 'çizerek', 'söylüyorum', ',', 'başka', 'eve', 'taşınmak', 'istemiyorum', '.']"
altını çizmek,"Altını çizerek söylüyorum, iyi dinle.",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'iyi', 'dinlemek', '.']","['Altını', 'çizerek', 'söylüyorum', ',', 'iyi', 'dinle', '.']"
altını çizmek,"Altını çizerek söylüyorum, lütfen doğalgazı kapatmayı unutma.",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'lütfen', 'doğalgaz', 'kapatmak', 'unutmak', '.']","['Altını', 'çizerek', 'söylüyorum', ',', 'lütfen', 'doğalgazı', 'kapatmayı', 'unutma', '.']"
altını çizmek,Altını çizerek söylüyorum.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', '.']","['Altını', 'çizerek', 'söylüyorum', '.']"
altını çizmek,Altını çizerek önemli yerleri işaretledim.,nonidiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'önem', 'yer', 'işaretlemek', '.']","['Altını', 'çizerek', 'önemli', 'yerleri', 'işaretledim', '.']"
altını çizmek,Altını çiziyorum bu iş böyle yapılır.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çiziyorum']","['alt', 'çizmek', 'bu', 'iş', 'böyle', 'yapmak', '.']","['Altını', 'çiziyorum', 'bu', 'iş', 'böyle', 'yapılır', '.']"
altını çizmek,Altını çizmek,idiom,0.0,0,2,1,"[0, 1]","['Altını', 'çizmek']","['alt', 'çizmek']","['Altını', 'çizmek']"
