idiom,submission,category,rating,likes,dislikes,reports,idiom_indices,idiom_words,lemmas,words
Acchiappare farfalle,Mamma mi ha suggerito di smetterla di acchiappare farfalle con l'università,idiom,1.0,2,0,0,"[7, 8]","['acchiappare', 'farfalle']","['mamma', 'mi', 'avere', 'suggerire', 'di', 'smettere', 'di', 'acchiappare', 'farfalla', 'con', ""l'"", 'università']","['Mamma', 'mi', 'ha', 'suggerito', 'di', 'smetterla', 'di', 'acchiappare', 'farfalle', 'con', ""l'"", 'università']"
Acchiappare farfalle,Mariagrazia per tutto l'anno che è stata a Napoli ha solo acchiappa to farfalle,idiom,0.5,1,1,0,"[12, 14]","['acchiappa', 'farfalle']","['Mariagrazia', 'per', 'tutto', ""l'"", 'anno', 'che', 'essere', 'essere', 'a', 'Napoli', 'avere', 'solo', 'acchiappare', 'to', 'farfalla']","['Mariagrazia', 'per', 'tutto', ""l'"", 'anno', 'che', 'è', 'stata', 'a', 'Napoli', 'ha', 'solo', 'acchiappa', 'to', 'farfalle']"
Acchiappare farfalle,Mi sembra di acchiappare sempre più farfalle con quel commercialista,idiom,1.0,1,0,0,"[3, 6]","['acchiappare', 'farfalle']","['mi', 'sembrare', 'di', 'acchiappare', 'sempre', 'più', 'farfalla', 'con', 'quello', 'commercialista']","['Mi', 'sembra', 'di', 'acchiappare', 'sempre', 'più', 'farfalle', 'con', 'quel', 'commercialista']"
Acchiappare farfalle,Mi sono resa conto che non sono più una ragazzina ed è ora di smetterla di acchiappare solo farfalle,idiom,1.0,2,0,0,"[16, 18]","['acchiappare', 'farfalle']","['mi', 'essere', 'rendere', 'conto', 'che', 'non', 'essere', 'più', 'una', 'ragazzina', 'ed', 'essere', 'ora', 'di', 'smettere', 'di', 'acchiappare', 'solo', 'farfalla']","['Mi', 'sono', 'resa', 'conto', 'che', 'non', 'sono', 'più', 'una', 'ragazzina', 'ed', 'è', 'ora', 'di', 'smetterla', 'di', 'acchiappare', 'solo', 'farfalle']"
Acchiappare farfalle,Nello da quando lo conosco acchiappa farfalle,idiom,0.5,1,1,0,"[5, 6]","['acchiappa', 'farfalle']","['nel', 'da', 'quando', 'lo', 'conoscere', 'acchiappare', 'farfalla']","['Nello', 'da', 'quando', 'lo', 'conosco', 'acchiappa', 'farfalle']"
Acchiappare farfalle,"Non siamo qui ad acchiappare farfalle, questa riunione è importante perciò concentriamoci",idiom,0.5,1,1,0,"[4, 5]","['acchiappare', 'farfalle']","['non', 'essere', 'qui', 'ad', 'acchiappare', 'farfalla', ',', 'questo', 'riunione', 'essere', 'importante', 'perciò', 'concentriamoci']","['Non', 'siamo', 'qui', 'ad', 'acchiappare', 'farfalle', ',', 'questa', 'riunione', 'è', 'importante', 'perciò', 'concentriamoci']"
Acchiappare farfalle,"Oggi non so cosa fare, sto acchiappando farfalle",idiom,0.5,1,1,0,"[7, 8]","['acchiappando', 'farfalle']","['oggi', 'non', 'sapere', 'cosa', 'fare', ',', 'stare', 'acchiappare', 'farfalla']","['Oggi', 'non', 'so', 'cosa', 'fare', ',', 'sto', 'acchiappando', 'farfalle']"
Acchiappare farfalle,Provare ad offrire qualcosa al bar ai miei amici d'infanzia è come acchiappare farfalle,idiom,1.0,1,0,0,"[13, 14]","['acchiappare', 'farfalle']","['provare', 'ad', 'offrire', 'qualcosa', 'al', 'bar', 'al', 'mio', 'amico', 'da', 'infanzia', 'essere', 'come', 'acchiappare', 'farfalla']","['Provare', 'ad', 'offrire', 'qualcosa', 'al', 'bar', 'ai', 'miei', 'amici', ""d'"", 'infanzia', 'è', 'come', 'acchiappare', 'farfalle']"
Acchiappare farfalle,Quando chiedo un aiuto a Giovanni acchiappo sempre e solo farfalle,idiom,0.0,0,2,0,"[6, 10]","['acchiappo', 'farfalle']","['quando', 'chiedere', 'un', 'aiuto', 'a', 'Giovanni', 'acchiappare', 'sempre', 'e', 'solo', 'farfalla']","['Quando', 'chiedo', 'un', 'aiuto', 'a', 'Giovanni', 'acchiappo', 'sempre', 'e', 'solo', 'farfalle']"
Acchiappare farfalle,Sarebbe bello poter acchiappare farfalle anziché stare chiusi in casa con il covid,nonidiom,0.5,1,1,0,"[3, 4]","['acchiappare', 'farfalle']","['essere', 'bello', 'potere', 'acchiappare', 'farfalla', 'anziché', 'stare', 'chiuso', 'in', 'casa', 'con', 'il', 'covid']","['Sarebbe', 'bello', 'poter', 'acchiappare', 'farfalle', 'anziché', 'stare', 'chiusi', 'in', 'casa', 'con', 'il', 'covid']"
Acchiappare farfalle,Secondo me se continui ad affidarti a quella commercialista acchiappi solo farfalle,idiom,1.0,1,0,0,"[9, 11]","['acchiappi', 'farfalle']","['secondo', 'me', 'se', 'continuare', 'ad', 'affidare', 'a', 'quello', 'commercialista', 'acchiappare', 'solo', 'farfalla']","['Secondo', 'me', 'se', 'continui', 'ad', 'affidarti', 'a', 'quella', 'commercialista', 'acchiappi', 'solo', 'farfalle']"
Acchiappare farfalle,"Siamo stati fidanzati per 5 anni, tempo durante il quale ho solo acchiappato farfalle",idiom,1.0,2,0,0,"[13, 14]","['acchiappato', 'farfalle']","['essere', 'essere', 'fidanzare', 'per', '5', 'anno', ',', 'tempo', 'durante', 'il', 'quale', 'avere', 'solo', 'acchiappare', 'farfalla']","['Siamo', 'stati', 'fidanzati', 'per', '5', 'anni', ',', 'tempo', 'durante', 'il', 'quale', 'ho', 'solo', 'acchiappato', 'farfalle']"
Acchiappare farfalle,Stai acchiappando solo farfalle cercando di riparare quella vecchia lavatrice,idiom,1.0,1,0,0,"[1, 3]","['acchiappando', 'farfalle']","['stare', 'acchiappare', 'solo', 'farfalla', 'cercare', 'di', 'riparare', 'quello', 'vecchio', 'lavatrice']","['Stai', 'acchiappando', 'solo', 'farfalle', 'cercando', 'di', 'riparare', 'quella', 'vecchia', 'lavatrice']"
Acchiappare farfalle,Stai sempre ad acchiappare farfalle,idiom,0.6666666666666666,2,1,0,"[3, 4]","['acchiappare', 'farfalle']","['stare', 'sempre', 'ad', 'acchiappare', 'farfalla']","['Stai', 'sempre', 'ad', 'acchiappare', 'farfalle']"
Acchiappare farfalle,luigi ha acchiappato le farfalle con il retino.,nonidiom,0.0,0,0,0,"[2, 4]","['acchiappato', 'farfalle']","['luigi', 'avere', 'acchiappare', 'la', 'farfalla', 'con', 'il', 'retino', '.']","['luigi', 'ha', 'acchiappato', 'le', 'farfalle', 'con', 'il', 'retino', '.']"
Acchiappare farfalle,"non devi acchiappare più farfalle, sono insetti delicati",nonidiom,0.5,1,1,0,"[2, 4]","['acchiappare', 'farfalle']","['non', 'deviare', 'acchiappare', 'più', 'farfalla', ',', 'essere', 'insetto', 'delicato']","['non', 'devi', 'acchiappare', 'più', 'farfalle', ',', 'sono', 'insetti', 'delicati']"
Acchiappare farfalle,"smetti di acchiappare farfalle, c’è bisogno del tuo aiuto",idiom,0.6666666666666666,2,1,0,"[2, 3]","['acchiappare', 'farfalle']","['smettere', 'di', 'acchiappare', 'farfalla', ',', ""c'"", 'essere', 'bisogno', 'del', 'tuo', 'aiuto']","['smetti', 'di', 'acchiappare', 'farfalle', ',', 'c’', 'è', 'bisogno', 'del', 'tuo', 'aiuto']"
Ammainare le vele,Ammainò la vela in fretta e furia,nonidiom,0.0,0,0,0,"[0, 1, 2]","['Ammainò', 'la', 'vela']","['ammainare', 'la', 'vela', 'in', 'fretta', 'e', 'furia']","['Ammainò', 'la', 'vela', 'in', 'fretta', 'e', 'furia']"
Ammainare le vele,Ancora non posso crederci che il nonno alla fine abbia ammainato le vele,idiom,1.0,1,0,0,"[10, 11, 12]","['ammainato', 'le', 'vele']","['ancora', 'non', 'potere', 'credere', 'che', 'il', 'nonno', 'alla', 'fine', 'avere', 'ammainare', 'la', 'vela']","['Ancora', 'non', 'posso', 'crederci', 'che', 'il', 'nonno', 'alla', 'fine', 'abbia', 'ammainato', 'le', 'vele']"
Ammainare le vele,Avevamo un'osteria a Napoli ma dopo tutte queste restrizioni causa covid stiamo pensando di ammainare le vele.,idiom,1.0,1,0,0,"[15, 16, 17]","['ammainare', 'le', 'vele']","['avere', ""un'"", 'osteria', 'a', 'Napoli', 'ma', 'dopo', 'tutto', 'questo', 'restrizione', 'causare', 'covid', 'stare', 'pensare', 'di', 'ammainare', 'la', 'vela', '.']","['Avevamo', ""un'"", 'osteria', 'a', 'Napoli', 'ma', 'dopo', 'tutte', 'queste', 'restrizioni', 'causa', 'covid', 'stiamo', 'pensando', 'di', 'ammainare', 'le', 'vele', '.']"
Ammainare le vele,Comunque vada non ammainerò così presto la vela,idiom,0.0,0,0,0,"[3, 6, 7]","['ammainerò', 'la', 'vela']","['comunque', 'andare', 'non', 'ammainare', 'così', 'presto', 'la', 'vela']","['Comunque', 'vada', 'non', 'ammainerò', 'così', 'presto', 'la', 'vela']"
Ammainare le vele,"Eravamo in minoranza, la ciurma stava perdendo colpi, fu allora che il capitano ci ordino di ammainare le vele",idiom,0.0,0,1,0,"[18, 19, 20]","['ammainare', 'le', 'vele']","['essere', 'in', 'minoranza', ',', 'la', 'ciurma', 'stare', 'perdere', 'colpo', ',', 'essere', 'allora', 'che', 'il', 'capitano', 'ci', 'ordinare', 'di', 'ammainare', 'la', 'vela']","['Eravamo', 'in', 'minoranza', ',', 'la', 'ciurma', 'stava', 'perdendo', 'colpi', ',', 'fu', 'allora', 'che', 'il', 'capitano', 'ci', 'ordino', 'di', 'ammainare', 'le', 'vele']"
Ammainare le vele,Ho ammainato la vela oggi,idiom,0.0,0,0,0,"[1, 2, 3]","['ammainato', 'la', 'vela']","['avere', 'ammainare', 'la', 'vela', 'oggi']","['Ho', 'ammainato', 'la', 'vela', 'oggi']"
Ammainare le vele,Il signor gilardi vincerà sugli amministratori e tutti noi con lui non dobbiamo ammainare le vele.,idiom,1.0,1,0,0,"[13, 14, 15]","['ammainare', 'le', 'vele']","['il', 'signore', 'gilardi', 'vincere', 'sul', 'amministratore', 'e', 'tutti', 'noi', 'con', 'lui', 'non', 'dovere', 'ammainare', 'la', 'vela', '.']","['Il', 'signor', 'gilardi', 'vincerà', 'sugli', 'amministratori', 'e', 'tutti', 'noi', 'con', 'lui', 'non', 'dobbiamo', 'ammainare', 'le', 'vele', '.']"
Ammainare le vele,Mai ammainare la vela,idiom,0.0,0,0,0,"[1, 2, 3]","['ammainare', 'la', 'vela']","['mai', 'ammainare', 'la', 'vela']","['Mai', 'ammainare', 'la', 'vela']"
Ammainare le vele,Maria ha già ammainato la vela prima di provarci,idiom,0.0,0,0,0,"[3, 4, 5]","['ammainato', 'la', 'vela']","['Maria', 'avere', 'già', 'ammainare', 'la', 'vela', 'prima', 'di', 'provare']","['Maria', 'ha', 'già', 'ammainato', 'la', 'vela', 'prima', 'di', 'provarci']"
Ammainare le vele,Maria ha già ammainato la vela prima di provarci,idiom,0.0,0,0,0,"[3, 4, 5]","['ammainato', 'la', 'vela']","['Maria', 'avere', 'già', 'ammainare', 'la', 'vela', 'prima', 'di', 'provare']","['Maria', 'ha', 'già', 'ammainato', 'la', 'vela', 'prima', 'di', 'provarci']"
Ammainare le vele,Non ammainerò mai la vela,idiom,0.0,0,0,0,"[1, 3, 4]","['ammainerò', 'la', 'vela']","['non', 'ammainare', 'mai', 'la', 'vela']","['Non', 'ammainerò', 'mai', 'la', 'vela']"
Andare a gonfie vele,"A quei momenti lì, a quando andava tutto a gonfie vele, e mi faceva stare bene, che mischiavi il romano e l’inglese",idiom,0.75,3,1,0,"[7, 9, 10, 11]","['andava', 'a', 'gonfie', 'vele']","['a', 'quello', 'momento', 'lì', ',', 'a', 'quando', 'andare', 'tutto', 'a', 'gonfia', 'vela', ',', 'e', 'mi', 'fare', 'stare', 'bene', ',', 'che', 'mischiare', 'il', 'romano', 'e', ""l'"", 'inglese']","['A', 'quei', 'momenti', 'lì', ',', 'a', 'quando', 'andava', 'tutto', 'a', 'gonfie', 'vele', ',', 'e', 'mi', 'faceva', 'stare', 'bene', ',', 'che', 'mischiavi', 'il', 'romano', 'e', 'l’', 'inglese']"
Andare a gonfie vele,Con il nuovo modem la connessione va davvero a gonfie vele,idiom,1.0,1,0,0,"[6, 8, 9, 10]","['va', 'a', 'gonfie', 'vele']","['con', 'il', 'nuovo', 'modem', 'la', 'connessione', 'andare', 'davvero', 'a', 'gonfia', 'vela']","['Con', 'il', 'nuovo', 'modem', 'la', 'connessione', 'va', 'davvero', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,Ho notato che il tuo nuovo progetto sta andando a gonfie vele,idiom,0.75,3,1,0,"[8, 9, 10, 11]","['andando', 'a', 'gonfie', 'vele']","['avere', 'notare', 'che', 'il', 'tuo', 'nuovo', 'progetto', 'stare', 'andare', 'a', 'gonfia', 'vela']","['Ho', 'notato', 'che', 'il', 'tuo', 'nuovo', 'progetto', 'sta', 'andando', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,Il colloquio è andato a gonfie vele,idiom,0.0,0,0,0,"[3, 4, 5, 6]","['andato', 'a', 'gonfie', 'vele']","['il', 'colloquio', 'essere', 'andare', 'a', 'gonfia', 'vela']","['Il', 'colloquio', 'è', 'andato', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,Il mio percorso universitario non sta andando affatto a gonfie vele,idiom,1.0,4,0,0,"[6, 8, 9, 10]","['andando', 'a', 'gonfie', 'vele']","['il', 'mio', 'percorso', 'universitario', 'non', 'stare', 'andare', 'affatto', 'a', 'gonfia', 'vela']","['Il', 'mio', 'percorso', 'universitario', 'non', 'sta', 'andando', 'affatto', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,Il nuovo progetto della regione Basilicata sta andando a gonfie vele,idiom,0.75,3,1,0,"[7, 8, 9, 10]","['andando', 'a', 'gonfie', 'vele']","['il', 'nuovo', 'progetto', 'della', 'regione', 'Basilicata', 'stare', 'andare', 'a', 'gonfia', 'vela']","['Il', 'nuovo', 'progetto', 'della', 'regione', 'Basilicata', 'sta', 'andando', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,L'attività del nonno va a gonfie vele dopo 45 anni.,idiom,1.0,4,0,0,"[4, 5, 6, 7]","['va', 'a', 'gonfie', 'vele']","[""l'"", 'attività', 'del', 'nonno', 'andare', 'a', 'gonfia', 'vela', 'dopo', '45', 'anno', '.']","[""L'"", 'attività', 'del', 'nonno', 'va', 'a', 'gonfie', 'vele', 'dopo', '45', 'anni', '.']"
Andare a gonfie vele,La barca va a gonfie vele grazie a questo vento di maestrale.,nonidiom,1.0,4,0,0,"[2, 3, 4, 5]","['va', 'a', 'gonfie', 'vele']","['la', 'barca', 'andare', 'a', 'gonfia', 'vela', 'grazia', 'a', 'questo', 'vento', 'di', 'maestrale', '.']","['La', 'barca', 'va', 'a', 'gonfie', 'vele', 'grazie', 'a', 'questo', 'vento', 'di', 'maestrale', '.']"
Andare a gonfie vele,La fiat uno del 91 va ancora a gonfie vele,idiom,1.0,2,0,0,"[5, 7, 8, 9]","['va', 'a', 'gonfie', 'vele']","['la', 'fiat', 'uno', 'del', '91', 'andare', 'ancora', 'a', 'gonfia', 'vela']","['La', 'fiat', 'uno', 'del', '91', 'va', 'ancora', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,La lavatrice che mi hai regalato va veramente a gonfie vele,idiom,1.0,1,0,0,"[6, 8, 9, 10]","['va', 'a', 'gonfie', 'vele']","['la', 'lavatrice', 'che', 'mi', 'avere', 'regalare', 'andare', 'veramente', 'a', 'gonfia', 'vela']","['La', 'lavatrice', 'che', 'mi', 'hai', 'regalato', 'va', 'veramente', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,La mia riabilitazione sta andando a gonfie vele,idiom,1.0,4,0,0,"[4, 5, 6, 7]","['andando', 'a', 'gonfie', 'vele']","['la', 'mio', 'riabilitazione', 'stare', 'andare', 'a', 'gonfia', 'vela']","['La', 'mia', 'riabilitazione', 'sta', 'andando', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,La nave sta andando a gonfie vele,nonidiom,0.75,3,1,0,"[3, 4, 5, 6]","['andando', 'a', 'gonfie', 'vele']","['la', 'nave', 'stare', 'andare', 'a', 'gonfia', 'vela']","['La', 'nave', 'sta', 'andando', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,La nostra nuova attività sta andando per fortuna a gonfie vele da quando Alessia lavora con noi,idiom,0.75,3,1,0,"[5, 8, 9, 10]","['andando', 'a', 'gonfie', 'vele']","['la', 'nostro', 'nuovo', 'attività', 'stare', 'andare', 'per', 'fortuna', 'a', 'gonfia', 'vela', 'da', 'quando', 'Alessia', 'lavorare', 'con', 'noi']","['La', 'nostra', 'nuova', 'attività', 'sta', 'andando', 'per', 'fortuna', 'a', 'gonfie', 'vele', 'da', 'quando', 'Alessia', 'lavora', 'con', 'noi']"
Andare a gonfie vele,La pubblicazione del suo libro sta andando a gonfie vele,idiom,1.0,4,0,0,"[6, 7, 8, 9]","['andando', 'a', 'gonfie', 'vele']","['la', 'pubblicazione', 'del', 'suo', 'libro', 'stare', 'andare', 'a', 'gonfia', 'vela']","['La', 'pubblicazione', 'del', 'suo', 'libro', 'sta', 'andando', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,La vele sono troppo distese per andare a gonfie vele verso il largo,nonidiom,1.0,4,0,0,"[6, 7, 8, 9]","['andare', 'a', 'gonfie', 'vele']","['la', 'vela', 'essere', 'troppo', 'distendere', 'per', 'andare', 'a', 'gonfia', 'vela', 'verso', 'il', 'largo']","['La', 'vele', 'sono', 'troppo', 'distese', 'per', 'andare', 'a', 'gonfie', 'vele', 'verso', 'il', 'largo']"
Andare a gonfie vele,Nella nostra nuova azienda gli affari vanno a gonfie vele,idiom,1.0,4,0,0,"[6, 7, 8, 9]","['vanno', 'a', 'gonfie', 'vele']","['nella', 'nostro', 'nuovo', 'azienda', 'il', 'affare', 'andare', 'a', 'gonfia', 'vela']","['Nella', 'nostra', 'nuova', 'azienda', 'gli', 'affari', 'vanno', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,"Per far andare a gonfie vele il negozio, bisogna aprirlo in via tribunali",idiom,1.0,4,0,0,"[2, 3, 4, 5]","['andare', 'a', 'gonfie', 'vele']","['per', 'fare', 'andare', 'a', 'gonfia', 'vela', 'il', 'negozio', ',', 'bisognare', 'aprire', 'in', 'via', 'tribunale']","['Per', 'far', 'andare', 'a', 'gonfie', 'vele', 'il', 'negozio', ',', 'bisogna', 'aprirlo', 'in', 'via', 'tribunali']"
Andare a gonfie vele,Per fortuna è andato tutto a gonfie vele,idiom,1.0,3,0,0,"[3, 5, 6, 7]","['andato', 'a', 'gonfie', 'vele']","['per', 'fortuna', 'essere', 'andare', 'tutto', 'a', 'gonfia', 'vela']","['Per', 'fortuna', 'è', 'andato', 'tutto', 'a', 'gonfie', 'vele']"
Andare a gonfie vele,Se andrà tutto a gonfie vele vincerò la gara.,idiom,1.0,3,0,0,"[1, 3, 4, 5]","['andrà', 'a', 'gonfie', 'vele']","['se', 'andare', 'tutto', 'a', 'gonfia', 'vela', 'vincere', 'la', 'gara', '.']","['Se', 'andrà', 'tutto', 'a', 'gonfie', 'vele', 'vincerò', 'la', 'gara', '.']"
Andare a gonfie vele,"Se mi chiedono come va, dirò che va tutto bene, tutto a gonfie vele.",idiom,1.0,2,0,0,"[8, 13, 14, 15]","['va', 'a', 'gonfie', 'vele']","['se', 'mi', 'chiedere', 'come', 'andare', ',', 'dire', 'che', 'andare', 'tutto', 'bene', ',', 'tutto', 'a', 'gonfia', 'vela', '.']","['Se', 'mi', 'chiedono', 'come', 'va', ',', 'dirò', 'che', 'va', 'tutto', 'bene', ',', 'tutto', 'a', 'gonfie', 'vele', '.']"
Andare a gonfie vele,Sono andato a gonfie vele!,idiom,1.0,2,0,0,"[1, 2, 3, 4]","['andato', 'a', 'gonfie', 'vele']","['essere', 'andare', 'a', 'gonfia', 'vela', '!']","['Sono', 'andato', 'a', 'gonfie', 'vele', '!']"
Andare a gonfie vele,Speriamo che l'esame vada a gonfie vele.,idiom,1.0,3,0,0,"[4, 5, 6, 7]","['vada', 'a', 'gonfie', 'vele']","['sperare', 'che', ""l'"", 'esame', 'andare', 'a', 'gonfia', 'vela', '.']","['Speriamo', 'che', ""l'"", 'esame', 'vada', 'a', 'gonfie', 'vele', '.']"
Andare a gonfie vele,"Su una imbarcazione, per andare a gonfie vele, occorre modificarne la curvatura delle stesse",nonidiom,1.0,3,0,0,"[5, 6, 7, 8]","['andare', 'a', 'gonfie', 'vele']","['su', 'una', 'imbarcazione', ',', 'per', 'andare', 'a', 'gonfia', 'vela', ',', 'occorrere', 'modificare', 'la', 'curvatura', 'della', 'stesso']","['Su', 'una', 'imbarcazione', ',', 'per', 'andare', 'a', 'gonfie', 'vele', ',', 'occorre', 'modificarne', 'la', 'curvatura', 'delle', 'stesse']"
